id,game,start_date,end_date,game title,start of free,end of free
107.0,Amnesia: The Dark Descent,30/04/2020,07/05/2020,,,
108.0,Crashlands,30/04/2020,07/05/2020,,,
109.0,Death Coming,07/05/2020,14/05/2020,,,
110.0,Grand Theft Auto V,14/05/2020,21/05/2020,,,
111.0,Sid Meier's Civilization VI,21/05/2020,28/05/2020,,,
112.0,Borderlands 2,28/05/2020,04/06/2020,,,
113.0,Borderlands: The Handsome Collection,28/05/2020,04/06/2020,,,
114.0,Borderlands: The Pre-Sequel,28/05/2020,04/06/2020,,,
115.0,Overcooked!,04/06/2020,11/06/2020,,,
116.0,Ark: Survival Evolved,11/06/2020,18/06/2020,,,
117.0,Samurai Shodown NeoGeo Collection,11/06/2020,18/06/2020,,,
118.0,Pathway,18/06/2020,25/06/2020,,,
119.0,AER: Memories of Old,25/06/2020,02/07/2020,,,
120.0,Stranger Things 3: The Game,25/06/2020,02/07/2020,,,
121.0,Hue,02/07/2020,09/07/2020,,,
122.0,Killing Floor 2,09/07/2020,16/07/2020,,,
123.0,Lifeless Planet: Premier Edition,09/07/2020,16/07/2020,,,
124.0,The Escapists 2,09/07/2020,16/07/2020,,,
125.0,Torchlight II,16/07/2020,23/07/2020,,,
126.0,Next Up Hero,23/07/2020,30/07/2020,,,
127.0,Tacoma,23/07/2020,30/07/2020,,,
128.0,20XX,30/07/2020,06/08/2020,,,
129.0,Barony,30/07/2020,06/08/2020,,,
130.0,Superbrothers: Sword & Sworcery EP,30/07/2020,06/08/2020,,,
131.0,3 out of 10: Season One,06/08/2020,13/08/2020,,,
132.0,Wilmot's Warehouse,06/08/2020,13/08/2020,,,
133.0,Remnant: From the Ashes,13/08/2020,20/08/2020,,,
134.0,The Alto Collection,13/08/2020,20/08/2020,,,
135.0,Enter the Gungeon,20/08/2020,27/08/2020,,,
136.0,God's Trigger,20/08/2020,27/08/2020,,,
137.0,Hitman (2016),27/08/2020,03/09/2020,,,
138.0,Shadowrun Collection,27/08/2020,03/09/2020,,,
139.0,Into the Breach,03/09/2020,10/09/2020,,,
140.0,Railway Empire,10/09/2020,17/09/2020,,,
141.0,Where the Water Tastes Like Wine,10/09/2020,17/09/2020,,,
142.0,A Total War Saga: Troy,13/09/2020,13/09/2020,,,
143.0,Football Manager 2020,17/09/2020,24/09/2020,,,
144.0,Stick It To The Man!,17/09/2020,24/09/2020,,,
145.0,Watch Dogs 2,17/09/2020,24/09/2020,,,
146.0,RollerCoaster Tycoon 3: Complete Edition,24/09/2020,01/10/2020,,,
147.0,Pikuniku,01/10/2020,08/10/2020,,,
148.0,ABZU,08/10/2020,15/10/2020,,,
149.0,Rising Storm 2: Vietnam,08/10/2020,15/10/2020,,,
150.0,Amnesia: A Machine for Pigs,15/10/2020,22/10/2020,,,
151.0,Kingdom New Lands,15/10/2020,22/10/2020,,,
152.0,Costume Quest 2,22/10/2020,29/10/2020,,,
153.0,Layers of Fear 2,22/10/2020,29/10/2020,,,
154.0,Blair Witch,29/10/2020,05/11/2020,,,
155.0,Ghostbusters: The Video Game Remastered,29/10/2020,05/11/2020,,,
156.0,Dungeons 3,05/11/2020,12/11/2020,,,
157.0,The Textorcist: The Story of Ray Bibbia,12/11/2020,19/11/2020,,,
158.0,Elite Dangerous,19/11/2020,26/11/2020,,,
159.0,The World Next Door,19/11/2020,26/11/2020,,,
160.0,MudRunner,26/11/2020,03/12/2020,,,
161.0,Cave Story+,03/12/2020,10/12/2020,,,
162.0,Pillars of Eternity: Definitive Edition,10/12/2020,17/12/2020,,,
163.0,Tyranny: Gold Edition,10/12/2020,17/12/2020,,,
164.0,Cities: Skylines,17/12/2020,18/12/2020,,,
165.0,Oddworld: New 'n' Tasty,18/12/2020,19/12/2020,,,
166.0,The Long Dark,19/12/2020,20/12/2020,,,
167.0,Defense Grid: The Awakening,20/12/2020,21/12/2020,,,
168.0,Alien: Isolation,21/12/2020,22/12/2020,,,
169.0,Metro 2033 Redux,22/12/2020,23/12/2020,,,
170.0,Tropico 5,23/12/2020,24/12/2020,,,
171.0,Inside,24/12/2020,25/12/2020,,,
172.0,Darkest Dungeon,25/12/2020,26/12/2020,,,
173.0,My Time at Portia,26/12/2020,27/12/2020,,,
174.0,Night in the Woods,27/12/2020,28/12/2020,,,
175.0,Stranded Deep,28/12/2020,29/12/2020,,,
176.0,Solitairica,29/12/2020,30/12/2020,,,
177.0,Torchlight II,30/12/2020,31/12/2020,,,
178.0,Jurassic World Evolution,31/12/2020,07/01/2021,,,
179.0,Crying Suns,07/01/2021,14/01/2021,,,
180.0,STAR WARS Battlefront II,14/01/2021,21/01/2021,,,
181.0,Galactic Civilizations III,21/01/2021,28/01/2021,,,
182.0,Dandara,28/01/2021,04/02/2021,,,
183.0,For The King,04/02/2021,11/02/2021,,,
184.0,Metro: Last Light Redux,04/02/2021,11/02/2021,,,
185.0,Halcyon 6: Starbase Commander,11/02/2021,18/02/2021,,,
186.0,Absolute Drift,18/02/2021,25/02/2021,,,
187.0,Rage 2,18/02/2021,25/02/2021,,,
188.0,Sunless Sea,25/02/2021,04/03/2021,,,
189.0,Wargame: Red Dragon,04/03/2021,11/03/2021,,,
190.0,Surviving Mars,11/03/2021,18/03/2021,,,
191.0,The Fall,18/03/2021,25/03/2021,,,
192.0,Creature in the Well,25/03/2021,01/04/2021,,,
193.0,Tales of the Neon Sea,01/04/2021,08/04/2021,,,
194.0,3 out of 10: Season Two,08/04/2021,15/04/2021,,,
195.0,Deponia,15/04/2021,22/04/2021,,,
196.0,Ken Follett's The Pillars of the Earth,15/04/2021,22/04/2021,,,
197.0,The First Tree,15/04/2021,22/04/2021,,,
198.0,Alien: Isolation,22/04/2021,29/04/2021,,,
199.0,Hand of Fate 2,22/04/2021,29/04/2021,,,
200.0,Idle Champions of the Forgotten Realms,29/04/2021,06/05/2021,,,
201.0,Pine,06/05/2021,13/05/2021,,,
202.0,The Lion's Song,13/05/2021,20/05/2021,,,
203.0,NBA 2K21,20/05/2021,27/05/2021,,,
204.0,Among Us,27/05/2021,03/06/2021,,,
205.0,Frostpunk,03/06/2021,10/06/2021,,,
206.0,Control,10/06/2021,17/06/2021,,,
207.0,Hell is Other Demons,17/06/2021,24/06/2021,,,
208.0,Overcooked! 2,17/06/2021,24/06/2021,,,
209.0,Horizon Chase Turbo,24/06/2021,01/07/2021,,,
210.0,Sonic Mania,24/06/2021,01/07/2021,,,
211.0,The Spectrum Retreat,01/07/2021,08/07/2021,,,
212.0,Bridge Constructor: The Walking Dead,08/07/2021,15/07/2021,,,
213.0,Ironcast,08/07/2021,15/07/2021,,,
214.0,Obduction,15/07/2021,22/07/2021,,,
215.0,Offworld Trading Company,15/07/2021,22/07/2021,,,
216.0,Defense Grid: The Awakening (repeat),22/07/2021,29/07/2021,,,
217.0,Verdun,22/07/2021,29/07/2021,,,
218.0,Mothergunship,29/07/2021,05/08/2021,,,
