id,game,start_date,end_date,price,publisher,year,real_value,original_release_date,aggregated_rating,next_sequel_date,next_sequel_name,hype_delta_days,is_strategic_hype
43,Everything,26/09/2019,03/10/2019,14.99,David Oreilly,2019,19.3371,2017-03-21,72.0,N/A,Standalone,,False
44,Metro 2033 Redux,26/09/2019,03/10/2019,19.99,Deep Silver,2019,25.7871,2014-08-26,80.0,N/A,Standalone,,False
45,Minit,03/10/2019,10/10/2019,9.99,Devolver Digital,2019,12.8871,2018-04-03,77.85714285714286,N/A,Standalone,,False
46,Surviving Mars,10/10/2019,17/10/2019,29.99,Paradox Interactive,2019,38.6871,2018-03-15,73.57142857142857,N/A,Standalone,,False
47,Alan Wake's: American Nightmare,17/10/2019,28/10/2019,8.99,Remedy Entertainment,2019,11.597100000000001,2012-02-22,79.28571428571429,N/A,Standalone,,False
48,Layers of Fear,24/10/2019,31/10/2019,29.99,Bloober Team,2019,38.6871,2016-02-15,76.11764705882354,N/A,Standalone,,False
49,Observer,24/10/2019,31/10/2019,29.99,Bloober Team,2019,38.6871,2017-08-15,74.0,N/A,Standalone,,False
50,Costume Quest,31/10/2019,07/11/2019,9.99,Double Fine Productions,2019,12.8871,2010-10-19,80.0,N/A,Standalone,,False
51,Q.U.B.E. 2,31/10/2019,07/11/2019,24.99,Trapped Nerve Games,2019,32.2371,2018-03-13,72.83333333333333,N/A,Standalone,,False
52,SOMA,31/10/2019,07/11/2019,29.99,Frictional Games,2019,38.6871,2015-09-21,81.25,N/A,Standalone,,False
53,Nuclear Throne,07/11/2019,14/11/2019,11.99,Vlambeer,2019,15.4671,2015-12-05,84.0,N/A,Standalone,,False
54,Ruiner,07/11/2019,14/11/2019,19.99,Devolver Digital,2019,25.7871,2017-09-26,76.16666666666667,N/A,Standalone,,False
55,The Messenger,14/11/2019,21/11/2019,19.99,Devolver Digital,2019,25.7871,2018-08-30,87.0,N/A,Standalone,,False
56,Bad North: Jotunn Edition,21/11/2019,29/11/2019,14.99,Raw Fury,2019,19.3371,2018-08-20,67.0,N/A,Standalone,,False
57,Rayman Legends,29/11/2019,06/12/2019,29.99,Ubisoft,2019,38.6871,2013-08-29,81.0,2022-10-20,Mario + Rabbids Sparks of Hope,1056.0,False
58,Jotun: Valhalla Edition,05/12/2019,12/12/2019,14.99,Thunder Lotus,2019,19.3371,2016-09-09,75.4,N/A,Standalone,,False
59,The Escapists,12/12/2019,19/12/2019,17.99,Team17 Digital Ltd,2019,23.207099999999997,2015-02-13,68.9090909090909,N/A,Standalone,,False
