id,game,start_date,end_date,price,publisher,year,real_value,original_release_date,aggregated_rating,next_sequel_date,next_sequel_name,hype_delta_days,is_strategic_hype
187,Rage 2,18/02/2021,25/02/2021,39.99,Bethesda Softworks,2021,48.787800000000004,2019-05-13,68.63636363636364,N/A,No Future Sequel Found,,False
188,Sunless Sea,25/02/2021,04/03/2021,18.99,Failbetter Games,2021,23.167799999999996,2015-02-06,85.0,N/A,Standalone,,False
189,Wargame: Red Dragon,04/03/2021,11/03/2021,29.99,Eugen Systems,2021,36.587799999999994,2014-04-17,80.0,N/A,Standalone,,False
190,Surviving Mars,11/03/2021,18/03/2021,29.99,Paradox Interactive,2021,36.587799999999994,2018-03-15,73.57142857142857,N/A,Standalone,,False
191,The Fall,18/03/2021,25/03/2021,9.99,Over The Moon,2021,12.1878,2014-05-30,77.5,N/A,No Future Sequel Found,,False
192,Creature in the Well,25/03/2021,01/04/2021,14.99,Flight School Studio,2021,18.2878,2019-09-06,73.75,N/A,Standalone,,False
193,Tales of the Neon Sea,01/04/2021,08/04/2021,14.99,Thermite Games,2021,18.2878,2019-04-29,60.0,N/A,Standalone,,False
194,3 out of 10: Season Two,08/04/2021,15/04/2021,0.0,Terrible Posture Games,2021,0.0,2021-04-08,60.0,N/A,No Future Sequel Found,,False
195,Deponia,15/04/2021,22/04/2021,9.99,Daedalic Entertainment,2021,12.1878,2012-08-07,77.5,N/A,No Future Sequel Found,,False
196,Ken Follett's The Pillars of the Earth,15/04/2021,22/04/2021,19.99,Daedalic Entertainment,2021,24.3878,2017-08-15,78.0,N/A,Standalone,,False
197,The First Tree,15/04/2021,22/04/2021,9.99,David Wehle,2021,12.1878,2017-09-14,68.0,N/A,Standalone,,False
198,Alien: Isolation,22/04/2021,29/04/2021,39.99,Sega,2021,48.787800000000004,2014-10-06,85.63157894736842,N/A,Standalone,,False
199,Hand of Fate 2,22/04/2021,29/04/2021,29.99,Defiant Development,2021,36.587799999999994,2017-11-07,76.0909090909091,N/A,Standalone,,False
200,Idle Champions of the Forgotten Realms,29/04/2021,06/05/2021,11.99,Codename Entertainment Inc.,2021,14.6278,2017-09-07,79.0,N/A,Standalone,,False
201,Pine,06/05/2021,13/05/2021,24.99,Maximum Entertainment,2021,30.487799999999996,2019-10-01,61.0,N/A,Standalone,,False
202,The Lion's Song,13/05/2021,20/05/2021,7.99,Mi'Pu'Mi Games Gmbh,2021,9.7478,2016-07-07,80.5,N/A,Standalone,,False
203,NBA 2K21,20/05/2021,27/05/2021,69.99,2K,2021,85.3878,2020-09-03,77.36363636363636,2021-09-10,NBA 2K22,113.0,False
204,Among Us,27/05/2021,03/06/2021,4.99,Innersloth,2021,6.0878000000000005,2018-06-15,81.75,N/A,Standalone,,False
205,Frostpunk,03/06/2021,10/06/2021,29.99,11 Bit Studios,2021,36.587799999999994,2018-04-24,86.22222222222223,2024-09-20,Frostpunk 2,1205.0,False
206,Control,10/06/2021,17/06/2021,39.99,Remedy Entertainment,2021,48.787800000000004,2019-08-27,83.0,N/A,Standalone,,False
207,Hell is Other Demons,17/06/2021,24/06/2021,9.99,Cuddle Monster Games,2021,12.1878,2019-04-18,65.0,N/A,Standalone,,False
208,Overcooked! 2,17/06/2021,24/06/2021,24.99,Team17 Digital Ltd,2021,30.487799999999996,2018-08-07,80.45454545454545,N/A,Standalone,,False
209,Horizon Chase Turbo,24/06/2021,01/07/2021,19.99,Aquiris,2021,24.3878,2018-05-15,85.0,2022-09-09,Horizon Chase 2,442.0,False
210,Sonic Mania,24/06/2021,01/07/2021,19.99,Sega,2021,24.3878,2018-07-17,86.77777777777777,2021-09-07,Sonic Colors: Ultimate,75.0,True
211,The Spectrum Retreat,01/07/2021,08/07/2021,12.99,Ripstone,2021,15.8478,2018-07-10,65.0,N/A,Standalone,,False
212,Bridge Constructor: The Walking Dead,08/07/2021,15/07/2021,9.99,Headup,2021,12.1878,2020-11-19,83.5,N/A,No Future Sequel Found,,False
213,Ironcast,08/07/2021,15/07/2021,14.99,Ripstone,2021,18.2878,2015-03-26,75.83333333333333,N/A,Standalone,,False
214,Obduction,15/07/2021,22/07/2021,29.99,Cyan Inc.,2021,36.587799999999994,2016-08-24,67.0,N/A,Standalone,,False
215,Offworld Trading Company,15/07/2021,22/07/2021,29.99,Stardock Entertainment,2021,36.587799999999994,2016-04-28,89.33333333333333,N/A,Standalone,,False
216,Defense Grid: The Awakening (repeat),22/07/2021,29/07/2021,0.0,Hidden Path Entertainment,2021,0.0,Date Not Found,,,,,False
217,Verdun,22/07/2021,29/07/2021,19.99,Blackmill Games,2021,24.3878,2015-04-28,57.5,2022-09-13,Isonzo,418.0,False
218,Mothergunship,29/07/2021,05/08/2021,24.99,Terrible Posture Games,2021,30.487799999999996,2018-07-17,75.0,N/A,Standalone,,False
219,Train Sim World 2,29/07/2021,05/08/2021,19.99,Dovetail Games,2021,24.3878,2020-08-20,90.0,N/A,Standalone,,False
220,A Plague Tale: Innocence,05/08/2021,12/08/2021,39.99,Focus Entertainment,2021,48.787800000000004,2019-05-14,80.86666666666666,2022-10-18,A Plague Tale: Requiem,439.0,False
221,Minit,05/08/2021,12/08/2021,9.99,Devolver Digital,2021,12.1878,2018-04-03,77.85714285714286,N/A,Standalone,,False
222,Rebel Galaxy,12/08/2021,19/08/2021,19.99,Double Damage Games,2021,24.3878,2015-10-20,72.14285714285714,N/A,Standalone,,False
223,Void Bastards,19/08/2021,26/08/2021,29.99,Blue Manchu,2021,36.587799999999994,2019-05-28,81.375,N/A,Standalone,,False
224,Yooka-Laylee,19/08/2021,26/08/2021,19.99,Playtonic Friends,2021,24.3878,2017-04-11,69.77272727272727,N/A,Standalone,,False
225,Automachef,26/08/2021,02/09/2021,14.99,Team17 Digital Ltd,2021,18.2878,2019-07-22,75.0,N/A,Standalone,,False
226,Saints Row: The Third Remastered,26/08/2021,02/09/2021,29.99,Deep Silver,2021,36.587799999999994,2020-05-22,72.0,N/A,Standalone,,False
227,Yoku's Island Express,02/09/2021,09/09/2021,19.99,Team17 Digital Ltd,2021,24.3878,2018-05-29,84.5,N/A,Standalone,,False
228,Nioh: The Complete Edition,09/09/2021,16/09/2021,49.99,"Koei Tecmo Games Co., Ltd.",2021,60.9878,2021-02-05,89.0,N/A,Standalone,,False
229,Sheltered,09/09/2021,16/09/2021,14.99,Team17 Digital Ltd,2021,18.2878,2016-03-15,60.0,N/A,Standalone,,False
230,Speed Brawl,16/09/2021,23/09/2021,19.99,Double Stallion,2021,24.3878,2018-09-18,70.0,N/A,Standalone,,False
231,Tharsis,16/09/2021,23/09/2021,14.99,Choice Provisions,2021,18.2878,2016-01-11,63.42857142857143,N/A,Standalone,,False
232,The Escapists,23/09/2021,30/09/2021,17.99,Team17 Digital Ltd,2021,21.947799999999997,2015-02-13,68.9090909090909,N/A,Standalone,,False
233,Europa Universalis IV,30/09/2021,07/10/2021,49.99,Paradox Interactive,2021,60.9878,2013-08-13,85.0,2025-11-04,Europa Universalis V,1496.0,False
234,PC Building Simulator,07/10/2021,14/10/2021,19.99,The Irregular Corporation,2021,24.3878,2019-01-29,65.0,N/A,Standalone,,False
235,Stubbs the Zombie in Rebel Without a Pulse,14/10/2021,21/10/2021,19.99,Aspyr,2021,24.3878,2005-10-18,62.5,N/A,Standalone,,False
236,Among the Sleep: Enhanced Edition,21/10/2021,28/10/2021,16.99,Krillbite Studio,2021,20.7278,2017-11-02,59.0,N/A,Standalone,,False
237,DARQ,28/10/2021,04/11/2021,19.99,Unfold Games,2021,24.3878,2019-08-15,70.0,N/A,Standalone,,False
238,Aven Colony,04/11/2021,11/11/2021,29.99,Team17 Digital Ltd,2021,36.587799999999994,2017-07-25,72.71428571428571,N/A,Standalone,,False
239,Rogue Company Season 4 Epic Pack (DLC),11/11/2021,18/11/2021,9.99,Hi-Rez Studios,2021,12.1878,2021-11-11,58.0,N/A,Standalone,,False
240,Tiny Tinaâ€™s Assault on Dragon Keep: A Wonderlands One-Shot Adventure,11/11/2021,18/11/2021,9.99,Unknown Publisher,2021,12.1878,Date Not Found,,,,,False
241,Guild of Dungeoneering,18/11/2021,25/11/2021,7.99,Gambrinous,2021,9.7478,2015-07-15,79.0,N/A,Standalone,,False
242,KID A MNESIA EXHIBITION,18/11/2021,25/11/2021,0.0,Epic Games,2021,0.0,2021-11-18,82.0,N/A,Standalone,,False
243,Never Alone (Kisima Ingitchuna),18/11/2021,25/11/2021,14.99,E-Line Media,2021,18.2878,2014-11-18,70.6,N/A,Standalone,,False
244,Antstream,25/11/2021,02/12/2021,39.99,Antstream Ltd,2021,48.787800000000004,2021-11-18,,N/A,Standalone,,False
245,theHunter: Call of the Wild,25/11/2021,02/12/2021,19.99,Expansive Worlds,2021,24.3878,2017-02-16,73.6,N/A,Standalone,,False
246,Dead by Daylight,02/12/2021,09/12/2021,19.99,Behaviour Interactive Inc.,2021,24.3878,2016-06-14,67.0,N/A,Standalone,,False
247,while True: learn(),02/12/2021,09/12/2021,12.99,Luden.Io,2021,15.8478,2019-01-17,70.0,N/A,Standalone,,False
248,Godfall: Challenger Edition,09/12/2021,16/12/2021,24.99,Gearbox Publishing,2021,30.487799999999996,2021-12-07,59.0,N/A,Standalone,,False
249,Prison Architect,09/12/2021,16/12/2021,29.99,Paradox Interactive,2021,36.587799999999994,2015-10-06,81.07692307692308,N/A,No Future Sequel Found,,False
250,Shenmue III,16/12/2021,17/12/2021,29.99,Inin,2021,36.587799999999994,2019-11-19,67.54545454545455,N/A,Standalone,,False
251,Neon Abyss,17/12/2021,18/12/2021,19.99,Team17 Digital Ltd,2021,24.3878,2020-07-13,90.0,N/A,Standalone,,False
252,Remnant: From the Ashes,18/12/2021,19/12/2021,39.99,Arc Games,2021,48.787800000000004,2019-08-20,76.35714285714286,N/A,Standalone,,False
253,The Vanishing of Ethan Carter,19/12/2021,20/12/2021,19.99,The Astronauts,2021,24.3878,2014-09-25,82.375,N/A,Standalone,,False
254,Loop Hero,20/12/2021,21/12/2021,14.99,Devolver Digital,2021,18.2878,2021-03-04,84.85714285714286,N/A,Standalone,,False
255,Second Extinction,21/12/2021,22/12/2021,0.0,Systemic Reaction,2021,0.0,2020-10-13,77.5,N/A,Standalone,,False
256,Mutant Year Zero: Road to Eden,22/12/2021,23/12/2021,34.99,Funcom,2021,42.6878,2018-12-04,81.25,N/A,Standalone,,False
257,Vampyr,23/12/2021,24/12/2021,39.99,Focus Entertainment,2021,48.787800000000004,2018-06-04,68.29411764705883,N/A,Standalone,,False
258,Pathfinder: Kingmaker - Enhanced Plus Edition,24/12/2021,25/12/2021,19.99,Knights Peak,2021,24.3878,2019-06-06,78.0,N/A,Standalone,,False
259,Prey,25/12/2021,26/12/2021,29.99,Bethesda Softworks,2021,36.587799999999994,2017-05-05,76.75,N/A,Standalone,,False
260,Control,26/12/2021,27/12/2021,39.99,Remedy Entertainment,2021,48.787800000000004,2019-08-27,83.0,N/A,Standalone,,False
261,Mages of Mystralia,27/12/2021,28/12/2021,19.99,Borealys Games,2021,24.3878,2017-05-18,84.0,N/A,Standalone,,False
262,Moving Out,28/12/2021,29/12/2021,24.99,Team17 Digital Ltd,2021,30.487799999999996,2020-04-28,74.5,2023-08-15,Moving Out 2,595.0,False
263,Salt and Sanctuary,29/12/2021,30/12/2021,17.99,Ska Studios,2021,21.947799999999997,2016-03-15,85.2,N/A,Standalone,,False
264,"Tomb Raider Trilogy (Tomb Raider GOTY, Rise of the Tomb Raider, Shadow of the Tomb Raider)",30/12/2021,06/01/2022,39.99,Square Enix Europe,2021,48.787800000000004,Date Not Found,,,,,False
265,Tomb Raider GOTY,30/12/2021,06/01/2022,19.8,Square Enix Europe,2021,24.156,Date Not Found,,,,,False
266,Rise of the Tomb Raider,30/12/2021,06/01/2022,29.99,Crystal Dynamics,2021,36.587799999999994,2015-11-10,87.04,2023-02-14,Tomb Raider Reloaded,411.0,False
267,Shadow of the Tomb Raider,30/12/2021,06/01/2022,59.99,Crystal Dynamics,2021,73.1878,2018-09-14,80.0,2023-02-14,Tomb Raider Reloaded,411.0,False
268,Gods Will Fall,06/01/2022,13/01/2022,14.99,Deep Silver,2022,16.788800000000002,2021-01-28,69.8,N/A,Standalone,,False
269,Galactic Civilizations III,13/01/2022,20/01/2022,29.99,Stardock Entertainment,2022,33.5888,2014-03-27,77.5,N/A,Standalone,,False
270,Relicta,20/01/2022,27/01/2022,19.99,Ravenscourt,2022,22.3888,2020-08-03,88.0,N/A,Standalone,,False
271,Daemon X Machina,27/01/2022,03/02/2022,49.99,Xseed Games,2022,55.988800000000005,2019-09-12,70.8,N/A,Standalone,,False
272,Yooka-Laylee and the Impossible Lair,03/02/2022,10/02/2022,29.99,Team17 Digital Ltd,2022,33.5888,2019-10-07,86.11111111111111,N/A,Standalone,,False
273,Windbound,10/02/2022,17/02/2022,29.99,Deep Silver,2022,33.5888,2020-08-21,57.6,N/A,Standalone,,False
274,Brothers: A Tale of Two Sons,17/02/2022,24/02/2022,14.99,505 Games,2022,16.788800000000002,2013-08-07,83.4375,N/A,Standalone,,False
275,Cris Tales,24/02/2022,03/03/2022,39.99,Maximum Entertainment,2022,44.78880000000001,2021-07-19,72.16666666666667,N/A,Standalone,,False
276,Black Widow: Recharged,03/03/2022,10/03/2022,9.99,Atari,2022,11.1888,2021-10-27,72.0,2022-06-02,Gravitar: Recharged,91.0,False
277,Centipede: Recharged,03/03/2022,10/03/2022,9.99,Atari,2022,11.1888,2021-09-29,76.0,N/A,Standalone,,False
278,Cities: Skylines,10/03/2022,17/03/2022,29.99,Paradox Interactive,2022,33.5888,2015-03-10,76.23076923076923,2022-04-28,Cities: VR,49.0,True
279,In Sound Mind,17/03/2022,24/03/2022,34.99,Maximum Entertainment,2022,39.18880000000001,2021-09-28,85.0,N/A,Standalone,,False
280,Demon's Tilt,24/03/2022,31/03/2022,19.99,Flarb Llc,2022,22.3888,2019-12-06,70.0,N/A,Standalone,,False
281,City of Brass (repeat),31/03/2022,07/04/2022,0.0,Uppercut Games,2022,0.0,Date Not Found,,,,,False
282,Total War: Warhammer,31/03/2022,07/04/2022,59.99,Sega,2022,67.18880000000001,2017-09-28,87.875,2023-10-11,Total War: Pharaoh,559.0,False
283,Rogue Legacy,07/04/2022,14/04/2022,14.99,Cellar Door Games,2022,16.788800000000002,2013-06-27,86.0,N/A,Standalone,,False
284,The Vanishing of Ethan Carter,07/04/2022,14/04/2022,19.99,The Astronauts,2022,22.3888,2014-09-25,82.375,N/A,Standalone,,False
285,Insurmountable,14/04/2022,21/04/2022,24.99,Daedalic Entertainment,2022,27.9888,2021-04-29,85.0,N/A,Standalone,,False
286,XCOM 2,14/04/2022,21/04/2022,59.99,2K,2022,67.18880000000001,2016-02-04,85.20689655172414,N/A,No Future Sequel Found,,False
287,Amnesia: Rebirth,21/04/2022,28/04/2022,29.99,Frictional Games,2022,33.5888,2020-10-20,81.77777777777777,2022-10-20,Amnesia: Rebirth,182.0,False
288,Riverbond,21/04/2022,28/04/2022,24.99,Cococucumber,2022,27.9888,2019-06-09,70.5,N/A,Standalone,,False
289,Just Die Already,28/04/2022,05/05/2022,14.99,Curve Games,2022,16.788800000000002,2021-05-20,60.0,N/A,Standalone,,False
290,Paradigm,28/04/2022,05/05/2022,14.99,Jacob Janerka,2022,16.788800000000002,2017-04-05,87.0,N/A,Standalone,,False
291,Terraforming Mars,05/05/2022,12/05/2022,19.99,Twin Sails Interactive,2022,22.3888,2018-10-17,65.0,N/A,Standalone,,False
292,Jotun: Valhalla Edition,12/05/2022,19/05/2022,14.99,Thunder Lotus,2022,16.788800000000002,2016-09-09,75.4,N/A,Standalone,,False
293,Prey,12/05/2022,19/05/2022,29.99,Bethesda Softworks,2022,33.5888,2017-05-05,76.75,N/A,Standalone,,False
294,Redout: Enhanced Edition,12/05/2022,19/05/2022,19.99,34Bigthings Srl,2022,22.3888,2016-09-02,69.0,N/A,Standalone,,False
295,Borderlands 3,19/05/2022,26/05/2022,59.99,2K,2022,67.18880000000001,2019-09-13,81.0,2022-10-21,New Tales from the Borderlands,155.0,False
296,Bioshock: The Collection,26/05/2022,02/06/2022,59.99,2K,2022,67.18880000000001,2016-09-13,84.21428571428571,N/A,Standalone,,False
297,BioShock,26/05/2022,02/06/2022,19.99,2K,2022,22.3888,2014-08-27,,N/A,No Future Sequel Found,,False
298,BioShock 2,26/05/2022,02/06/2022,19.99,2K,2022,22.3888,2010-02-09,87.0,N/A,No Future Sequel Found,,False
299,BioShock Infinite,26/05/2022,02/06/2022,29.99,2K,2022,33.5888,2013-03-25,93.21428571428571,N/A,No Future Sequel Found,,False
300,Wolfenstein: The New Order,02/06/2022,09/06/2022,19.99,Bethesda Softworks,2022,22.3888,2014-05-20,77.3125,N/A,No Future Sequel Found,,False
301,Maneater,09/06/2022,16/06/2022,39.99,Tripwire Interactive,2022,44.78880000000001,2020-05-22,73.0,N/A,Standalone,,False
302,Supraland,16/06/2022,23/06/2022,19.99,Supra Games,2022,22.3888,2019-04-05,80.0,N/A,Standalone,,False
303,A Game of Thrones: The Board Game Digital Edition,23/06/2022,30/06/2022,19.99,Twin Sails Interactive,2022,22.3888,2020-10-06,72.0,N/A,Standalone,,False
304,Car Mechanic Simulator 2018,23/06/2022,30/06/2022,19.99,Playway S.A.,2022,22.3888,2017-07-28,67.0,N/A,Standalone,,False
305,Geneforge 1: Mutagen,30/06/2022,07/07/2022,19.99,Spiderweb Software,2022,22.3888,2021-02-24,74.0,N/A,Standalone,,False
306,Hood: Outlaws & Legends,30/06/2022,07/07/2022,0.0,Focus Entertainment,2022,0.0,2021-05-07,68.66666666666667,N/A,Standalone,,False
307,Iratus: Lord of the Dead,30/06/2022,07/07/2022,29.99,Daedalic Entertainment,2022,33.5888,2020-04-23,70.0,N/A,Standalone,,False
308,Ancient Enemy,07/07/2022,14/07/2022,16.99,Grey Alien Games,2022,19.0288,2020-04-09,52.0,N/A,Standalone,,False
309,Killing Floor 2,07/07/2022,14/07/2022,29.99,Tripwire Interactive,2022,33.5888,2016-11-18,80.76923076923077,2025-07-24,Q121766481,1113.0,False
310,Shop Titans,14/07/2022,21/07/2022,0.0,"Kabam Games, Inc.",2022,0.0,2019-06-18,60.0,N/A,Standalone,,False
311,Wonder Boy: The Dragon's Trap,14/07/2022,21/07/2022,19.99,Dotemu,2022,22.3888,2017-04-18,81.0,N/A,Standalone,,False
312,Tannenberg,21/07/2022,28/07/2022,19.99,Blackmill Games,2022,22.3888,2019-02-13,65.75,2022-09-13,Isonzo,54.0,True
313,Lawn Mowing Simulator,28/07/2022,04/08/2022,19.99,Curve Games,2022,22.3888,2021-08-10,62.0,N/A,Standalone,,False
314,Unrailed!,04/08/2022,11/08/2022,19.99,Daedalic Entertainment,2022,22.3888,2019-09-09,72.0,N/A,Standalone,,False
315,"Cook, Serve, Delicious! 3?!",11/08/2022,18/08/2022,19.99,Vertigo Gaming Inc.,2022,22.3888,2020-10-13,74.0,N/A,Standalone,,False
316,Doom 64,18/08/2022,25/08/2022,4.99,Bethesda Softworks,2022,5.588800000000001,2020-03-20,77.0,2023-03-21,Mighty Doom,215.0,False
317,Rumbleverse Boom Boxer Pack (DLC),18/08/2022,25/08/2022,0.0,Epic Games Publishing,2022,0.0,2022-08-18,48.0,N/A,Standalone,,False
318,Destiny 2,25/08/2022,01/09/2022,24.99,Bungie,2022,27.9888,2017-09-06,82.44,2024-06-04,Destiny 2: The Final Shape,649.0,False
319,Ring of Pain,25/08/2022,01/09/2022,19.99,Humble Games,2022,22.3888,2020-10-14,53.0,N/A,Standalone,,False
320,Shadow of the Tomb Raider,01/09/2022,08/09/2022,59.99,Crystal Dynamics,2022,67.18880000000001,2018-09-14,80.0,2023-02-14,Tomb Raider Reloaded,166.0,False
321,Submerged: Hidden Depths,01/09/2022,08/09/2022,29.99,Uppercut Games Pty Ltd,2022,33.5888,2020-12-03,74.0,N/A,Standalone,,False
322,Hundred Days - Winemaking Simulator,08/09/2022,15/09/2022,24.99,Broken Arms Games,2022,27.9888,2021-05-13,60.0,N/A,Standalone,,False
323,Realm Royale Reforged Epic Launch Bundle (DLC),08/09/2022,15/09/2022,0.0,Hi Rez Studios,2022,0.0,2022-09-08,78.0,N/A,Standalone,,False
324,Spirit of the North,15/09/2022,22/09/2022,19.99,Silver Lining Interactive,2022,22.3888,2019-11-13,70.0,N/A,Standalone,,False
325,The Captain,15/09/2022,22/09/2022,19.99,Tomorrow Corporation,2022,22.3888,2021-03-12,64.0,N/A,Standalone,,False
326,ARK: Survival Evolved (repeat),22/09/2022,29/09/2022,0.0,Studio Wildcard,2022,0.0,Date Not Found,,,,,False
327,Gloomhaven,22/09/2022,29/09/2022,34.99,Twin Sails Interactive,2022,39.18880000000001,2019-07-17,73.5,2023-09-18,Gloomhaven,361.0,False
328,Runbow,29/09/2022,06/10/2022,14.99,13Am Games,2022,16.788800000000002,2015-08-27,73.85714285714286,N/A,Standalone,,False
329,The Drone Racing League Simulator,29/09/2022,06/10/2022,9.99,The Drone Racing League,2022,11.1888,2017-06-16,,N/A,Standalone,,False
330,Rising Hell,06/10/2022,13/10/2022,9.99,Toge Productions,2022,11.1888,2021-05-19,70.0,N/A,Standalone,,False
331,Slain: Back from Hell,06/10/2022,13/10/2022,12.99,Silver Lining Interactive,2022,14.548800000000002,2016-03-24,49.91666666666666,N/A,Standalone,,False
332,Darkwood,13/10/2022,20/10/2022,14.99,Crunching Koalas,2022,16.788800000000002,2017-08-17,80.0,N/A,Standalone,,False
333,ToeJam & Earl: Back in the Groove!,13/10/2022,20/10/2022,14.99,Humanature Studios,2022,16.788800000000002,2019-03-01,69.5,N/A,Standalone,,False
334,Evoland,20/10/2022,27/10/2022,9.99,Shiro Games,2022,11.1888,2013-04-04,80.0,N/A,Standalone,,False
335,Fallout 3,20/10/2022,27/10/2022,9.99,Bethesda Softworks,2022,11.1888,2008-10-28,89.1,N/A,No Future Sequel Found,,False
336,Saturnalia,27/10/2022,03/11/2022,29.99,Santa Ragione,2022,33.5888,2022-10-27,80.0,N/A,Standalone,,False
337,"Warhammer 40,000: Mechanicus",27/10/2022,03/11/2022,29.99,Kasedo Games,2022,33.5888,2018-11-15,76.5,N/A,Standalone,,False
338,Filament,03/11/2022,10/11/2022,16.99,Kasedo Games,2022,19.0288,2020-04-23,77.5,N/A,Standalone,,False
339,Rising Storm 2: Vietnam,03/11/2022,10/11/2022,24.99,Tripwire Interactive,2022,27.9888,2017-05-30,72.5,N/A,Standalone,,False
340,Alba: A Wildlife Adventure,10/11/2022,17/11/2022,16.99,Ustwo Games,2022,19.0288,2020-12-11,81.66666666666667,N/A,Standalone,,False
341,Shadow Tactics: Blades of the Shogun (repeat),10/11/2022,17/11/2022,0.0,Daedalic Entertainment,2022,0.0,Date Not Found,,,,,False
342,Dark Deity,17/11/2022,24/11/2022,24.99,Indie.Io,2022,27.9888,2021-06-15,,N/A,Standalone,,False
343,Evil Dead: The Game,17/11/2022,24/11/2022,39.99,Boss Team Games,2022,44.78880000000001,2011-06-01,85.0,N/A,No Future Sequel Found,,False
344,Star Wars: Squadrons,24/11/2022,01/12/2022,39.99,Electronic Arts,2022,44.78880000000001,2020-10-01,80.75,N/A,Standalone,,False
345,Fort Triumph,01/12/2022,08/12/2022,19.99,Cookiebyte Entertainment,2022,22.3888,2020-04-16,75.0,N/A,Standalone,,False
346,RPG in a Box,01/12/2022,08/12/2022,49.99,Quercus Quag Software,2022,55.988800000000005,2022-05-11,,N/A,Standalone,,False
347,Saints Row 4 Re-Elected,08/12/2022,15/12/2022,0.0,Deep Silver,2022,0.0,2015-01-20,77.0,N/A,Standalone,,False
348,Wildcat Gun Machine,08/12/2022,15/12/2022,14.99,Daedalic Entertainment,2022,16.788800000000002,2022-05-04,50.0,N/A,Standalone,,False
349,Bloons TD 6,15/12/2022,15/12/2022,13.99,Ninja Kiwi,2022,15.668800000000001,2018-06-14,78.0,N/A,No Future Sequel Found,,False
350,Horizon Chase Turbo,16/12/2022,16/12/2022,19.99,Aquiris,2022,22.3888,2018-05-15,85.0,2022-09-09,Horizon Chase 2,-98.0,False
351,Costume Quest 2,17/12/2022,17/12/2022,14.99,Midnight City,2022,16.788800000000002,2014-10-07,65.0,N/A,Standalone,,False
352,Sable,19/12/2022,20/12/2022,24.99,Raw Fury,2022,27.9888,2021-09-23,82.71428571428571,N/A,Standalone,,False
353,Them's Fightin' Herds,20/12/2022,21/12/2022,31.98,Gameplay Group International,2022,35.817600000000006,2020-04-30,75.0,N/A,Standalone,,False
354,Wolfenstein: The New Order,21/12/2022,22/12/2022,19.99,Bethesda Softworks,2022,22.3888,2014-05-20,77.3125,N/A,No Future Sequel Found,,False
355,LEGO Builder's Journey,22/12/2022,23/12/2022,19.99,Lego® Games,2022,22.3888,2019-12-20,77.2,N/A,Standalone,,False
356,Fallout Classic Collection,23/12/2022,24/12/2022,19.99,Bethesda Softworks,2022,22.3888,2016-11-11,,N/A,Standalone,,False
357,Encased,24/12/2022,25/12/2022,29.99,Prime Matter,2022,33.5888,2021-09-07,55.0,N/A,Standalone,,False
358,Metro: Last Light Redux,25/12/2022,26/12/2022,19.99,Deep Silver,2022,22.3888,2014-08-26,80.0,N/A,Standalone,,False
359,Death Stranding,26/12/2022,27/12/2022,39.99,505 Games,2022,44.78880000000001,2019-11-08,84.41176470588235,N/A,Standalone,,False
360,F.I.S.T.: Forged In Shadow Torch,27/12/2022,28/12/2022,15.99,Astrolabe Games,2022,17.908800000000003,2021-09-07,86.83333333333333,N/A,Standalone,,False
361,Severed Steel,28/12/2022,29/12/2022,24.99,Greylock Studio,2022,27.9888,2021-09-17,85.0,N/A,Standalone,,False
362,Dishonored,29/12/2022,05/01/2023,9.99,Bethesda Softworks,2022,11.1888,2012-10-09,90.35714285714286,N/A,No Future Sequel Found,,False
363,Eximius: Seize the Frontline,29/12/2022,05/01/2023,19.99,Ammobox Studios,2022,22.3888,2021-03-16,50.0,N/A,Standalone,,False
364,Mortal Shell,29/12/2022,05/01/2023,29.99,Playstack,2022,33.5888,2020-08-18,75.25,2026-01-01,Mortal Shell IIÂ ,1099.0,False
365,Kerbal Space Program,05/01/2023,12/01/2023,39.99,Private Division,2023,43.18920000000001,2015-04-27,86.57142857142857,N/A,Standalone,,False
366,Shadow Tactics: Blades Of The Shogun - Aiko's Choice,05/01/2023,12/01/2023,19.99,Daedalic Entertainment,2023,21.589199999999998,2021-12-06,90.0,N/A,Standalone,,False
367,Divine Knockout,12/01/2023,19/01/2023,0.0,Hi Rez Studios,2023,0.0,2022-12-06,77.5,N/A,Standalone,,False
368,First Class Trouble,12/01/2023,19/01/2023,14.99,Invisible Walls,2023,16.1892,2021-04-08,54.0,N/A,Standalone,,False
369,Epistory's Typing Chronicles,19/01/2023,26/01/2023,0.0,Fishing Cactus,2023,0.0,2016-03-30,82.5,N/A,Standalone,,False
370,Gamedec,19/01/2023,26/01/2023,6.99,Anshar Publishing,2023,7.549200000000001,2021-09-16,72.0,N/A,Standalone,,False
371,Adios,26/01/2023,02/02/2023,17.99,Mischief,2023,19.429199999999998,2021-03-17,71.0,N/A,Standalone,,False
372,Hell is Others,26/01/2023,02/02/2023,14.99,A List Games,2023,16.1892,2022-10-20,70.0,N/A,Standalone,,False
373,City of Gangsters,02/02/2023,09/02/2023,29.99,Kasedo Games,2023,32.3892,2021-08-09,84.0,N/A,Standalone,,False
374,Dishonored: Death of the Outsider,02/02/2023,09/02/2023,29.99,Bethesda Softworks,2023,32.3892,2017-09-14,81.9090909090909,N/A,No Future Sequel Found,,False
375,Recipe for Disaster,09/02/2023,16/02/2023,16.99,Kasedo Games,2023,18.3492,2021-11-04,,N/A,Standalone,,False
