id,game,start_date,end_date,price,publisher,original_release_date,aggregated_rating,real_value,next_sequel_date,next_sequel_name,year,hype_delta_days,is_strategic_hype
45,Q.U.B.E. 2,31/10/2019,07/11/2019,24.99,Trapped Nerve Games,2018-03-13,72.83333333333333,32.2371,N/A,Standalone,2019,,False
46,SOMA,31/10/2019,07/11/2019,29.99,Frictional Games,2015-09-21,81.25,38.6871,N/A,Standalone,2019,,False
47,Nuclear Throne,07/11/2019,14/11/2019,11.99,Vlambeer,2015-12-05,84.0,15.4671,N/A,Standalone,2019,,False
48,Ruiner,07/11/2019,14/11/2019,19.99,Devolver Digital,2017-09-26,76.16666666666667,25.7871,N/A,Standalone,2019,,False
49,The Messenger,14/11/2019,21/11/2019,19.99,Devolver Digital,2018-08-30,87.0,25.7871,N/A,Standalone,2019,,False
50,Bad North: Jotunn Edition,21/11/2019,29/11/2019,14.99,Raw Fury,2018-08-20,67.0,19.3371,N/A,Standalone,2019,,False
51,Rayman Legends,29/11/2019,06/12/2019,29.99,Ubisoft,29/08/2013,81.0,38.6871,20/10/2022,Mario + Rabbids Sparks of Hope,2019,,False
52,Jotun: Valhalla Edition,05/12/2019,12/12/2019,14.99,Thunder Lotus,2016-09-09,75.4,19.3371,N/A,Standalone,2019,,False
53,The Escapists,12/12/2019,19/12/2019,17.99,Team17 Digital Ltd,2015-02-13,68.9090909090909,23.207099999999997,N/A,Standalone,2019,,False
54,The Wolf Among Us,12/12/2019,19/12/2019,14.99,Telltale,2013-10-11,79.52272727272727,19.3371,N/A,No Future Sequel Found,2019,,False
55,Into the Breach,19/12/2019,20/12/2019,14.99,Subset Games,2018-02-27,90.0,19.3371,N/A,Standalone,2019,,False
56,TowerFall Ascension,20/12/2019,21/12/2019,14.99,Maddy Makes Games Inc.,2014-03-11,87.0,19.3371,N/A,Standalone,2019,,False
57,Superhot,21/12/2019,22/12/2019,24.99,Superhot Team,2016-02-25,84.72222222222223,32.2371,N/A,Standalone,2019,,False
58,Little Inferno,22/12/2019,23/12/2019,14.99,Tomorrow Corporation,2012-11-18,65.0,19.3371,N/A,Standalone,2019,,False
59,Ape Out,23/12/2019,24/12/2019,14.99,Devolver Digital,2019-02-28,81.83333333333333,19.3371,N/A,Standalone,2019,,False
60,Celeste,24/12/2019,25/12/2019,19.99,Maddy Makes Games Inc.,2018-01-25,91.3,25.7871,N/A,Standalone,2019,,False
61,Totally Accurate Battle Simulator,25/12/2019,26/12/2019,19.99,Landfall,2021-04-01,73.0,25.7871,N/A,Standalone,2019,,False
62,FTL: Faster Than Light,26/12/2019,27/12/2019,9.99,Subset Games,2012-09-14,88.8,12.8871,N/A,Standalone,2019,,False
63,Hyper Light Drifter,27/12/2019,28/12/2019,19.99,Heart Machine,2016-03-31,88.9090909090909,25.7871,N/A,Standalone,2019,,False
