ï»¿id,game,start_date,end_date,price,seller,year,real_value,id
67,Totally Accurate Battle Simulator,2019-12-25,26/12/2019,19.99,Landfall,2019,25.7871,0
68,FTL: Faster Than Light,2019-12-26,27/12/2019,9.99,Subset Games,2019,12.8871,0
69,Hyper Light Drifter,2019-12-27,28/12/2019,19.99,Heart Machine,2019,25.7871,0
70,Shadow Tactics: Blades of the Shogun,2019-12-28,29/12/2019,39.99,Daedalic Entertainment,2019,51.58710000000001,0
71,The Talos Principle,2019-12-29,30/12/2019,29.99,Devolver Digital,2019,38.6871,0
72,Hello Neighbor,2019-12-30,31/12/2019,29.99,Tinybuild,2019,38.6871,0
73,Yooka-Laylee and the Impossible Lair,2019-12-31,01/01/2020,29.99,Team17 Digital Ltd,2019,38.6871,0
74,Darksiders,2020-01-01,09/01/2020,39.99,Thq Nordic,2020,50.7873,0
75,Darksiders II,2020-01-01,09/01/2020,39.99,Thq Nordic,2020,50.7873,0
76,Steep,2020-01-01,09/01/2020,29.99,Ubisoft,2020,38.0873,0
77,Sundered: Eldritch Edition,2020-01-09,16/01/2020,19.99,Thunder Lotus,2020,25.3873,0
78,Horace,2020-01-16,23/01/2020,14.99,505 Games,2020,19.037300000000002,0
79,The Bridge,2020-01-23,30/01/2020,9.99,The Quantum Astrophysicists Guild,2020,12.6873,0
80,Farming Simulator 19,2020-01-30,06/02/2020,17.99,Giants Software,2020,22.847299999999997,0
81,Carcassonne,2020-02-06,13/02/2020,9.99,Twin Sails Interactive,2020,12.6873,0
82,Ticket to Ride,2020-02-06,13/02/2020,14.99,Marmalade Game Studio Ltd,2020,19.037300000000002,0
83,Aztez,2020-02-13,20/02/2020,19.99,Team Colorblind,2020,25.3873,0
84,Kingdom Come: Deliverance,2020-02-13,20/02/2020,29.99,Warhorse Studios,2020,38.0873,0
85,Assassin's Creed Syndicate,2020-02-20,27/02/2020,29.99,Ubisoft,2020,38.0873,0
86,Faeria,2020-02-20,27/02/2020,19.99,Versus Evil,2020,25.3873,0
87,InnerSpace,2020-02-27,05/03/2020,19.99,Aspyr,2020,25.3873,0
88,GoNNER,2020-03-05,12/03/2020,9.99,Raw Fury,2020,12.6873,0
89,Offworld Trading Company,2020-03-05,12/03/2020,29.99,Stardock Entertainment,2020,38.0873,0
90,A Short Hike,2020-03-12,19/03/2020,7.99,Adamgryu,2020,10.1473,0
91,Anodyne 2: Return to Dust,2020-03-12,19/03/2020,19.99,Analgesic Productions,2020,25.3873,0
92,Mutazione,2020-03-12,19/03/2020,19.99,Akupara Games,2020,25.3873,0
93,The Stanley Parable,2020-03-19,26/03/2020,14.99,Galactic Cafe,2020,19.037300000000002,0
94,Watch Dogs,2020-03-19,26/03/2020,19.99,Ubisoft,2020,25.3873,0
95,Figment,2020-03-26,02/04/2020,19.99,Bedtime Digital Games,2020,25.3873,0
96,Tormentor x Punisher,2020-03-26,02/04/2020,7.99,Unknown Publisher,2020,10.1473,0
97,World War Z,2020-03-26,02/04/2020,29.99,Saber Interactive Inc,2020,38.0873,0
98,Drawful 2,2020-04-02,09/04/2020,9.99,"Jackbox Games, Inc.",2020,12.6873,0
99,Gone Home,2020-04-02,09/04/2020,14.99,Fullbright,2020,19.037300000000002,0
100,Hob,2020-04-02,09/04/2020,19.99,Arc Games,2020,25.3873,0
101,Totally Reliable Delivery Service,2020-04-02,09/04/2020,14.99,Infogrames,2020,19.037300000000002,0
102,Close to the Sun,2020-04-09,16/04/2020,19.99,Wired Productions,2020,25.3873,0
103,Sherlock Holmes: Crimes and Punishments,2020-04-09,16/04/2020,29.99,Frogwares,2020,38.0873,0
104,Just Cause 4,2020-04-16,23/04/2020,59.99,Square Enix,2020,76.18730000000001,0
105,Wheels of Aurelia,2020-04-16,23/04/2020,14.99,Santa Ragione,2020,19.037300000000002,0
106,For the King,2020-04-23,30/04/2020,19.99,Curve Games,2020,25.3873,0
107,Amnesia: The Dark Descent,2020-04-30,07/05/2020,19.99,Frictional Games,2020,25.3873,0
108,Crashlands,2020-04-30,07/05/2020,14.99,Butterscotch Shenanigans,2020,19.037300000000002,0
109,Death Coming,2020-05-07,14/05/2020,6.99,Next Studios,2020,8.8773,0
110,Grand Theft Auto V,2020-05-14,21/05/2020,29.99,Rockstar Games,2020,38.0873,0
111,Sid Meier's Civilization VI,2020-05-21,28/05/2020,59.99,2K,2020,76.18730000000001,0
112,Borderlands 2,2020-05-28,04/06/2020,19.99,2K,2020,25.3873,0
