id,game,start_date,end_date,price
469,Thief (2014),04/03/2024,11/04/2024,19.99
470,The Outer Worlds,04/03/2024,11/04/2024,29.99
471,Astro Duel,07/03/2024,14/03/2024,9.99
472,The Bridge,14/03/2024,21/03/2024,9.99
473,LISA: The Painful,14/03/2024,21/03/2024,19.99
474,Deus Ex: Mankind Divided,14/03/2024,21/03/2024,29.99
475,Call of The Wild: The Angler,21/03/2024,28/03/2024,29.99
476,Invincible Presents: Atom Eve,21/03/2024,28/03/2024,9.99
477,Islets,28/03/2024,04/04/2024,19.99
478,Circus Electrique,04/04/2024,11/04/2024,19.99
479,Ghostrunner,11/04/2024,18/04/2024,29.99
480,The Big Con,18/04/2024,25/04/2024,14.99
481,Town of Salem 2,18/04/2024,25/04/2024,12.99
482,Circus Electrique,18/04/2024,25/04/2024,19.99
483,Industria,25/04/2024,02/05/2024,19.99
484,Orcs Must Die! 3,02/05/2024,09/05/2024,29.99
485,LISA: The Joyful,02/05/2024,09/05/2024,9.99
486,Cat Quest II,02/05/2024,09/05/2024,14.99
487,Orcs Must Die! 2,09/05/2024,16/05/2024,14.99
488,Firestone: Online Idle RPG,09/05/2024,16/05/2024,0
489,Dragon Age: Inquisition,16/05/2024,23/05/2024,39.99
490,Farming Simulator 22,23/05/2024,30/05/2024,19.99
491,Chivalry 2,30/05/2024,06/06/2024,39.99
492,Marvel's Midnight Suns,30/05/2024,06/06/2024,59.99
493,Redout 2,06/06/2024,13/06/2024,19.99
494,Idle Champions of the Forgotten Realms (DLC pack),13/06/2024,20/06/2024,5.99
495,Freshly Frosted + Rumble Club pack,20/06/2024,27/06/2024,9.99
496,Sunless Skies: Sovereign Edition,27/06/2024,04/07/2024,24.99
497,The Falconeer,04/07/2024,11/07/2024,19.99
498,Floppy Knights,11/07/2024,18/07/2024,19.99
499,Arcade Paradise,18/07/2024,25/07/2024,19.99
500,Maid of Sker,18/07/2024,25/07/2024,24.99
501,F.I.S.T.: Forged In Shadow Torch,25/07/2024,01/08/2024,15.99
502,LumbearJack,01/08/2024,08/08/2024,12.99
503,Rawmen: Food Fighter Arena,01/08/2024,08/08/2024,0
504,DNF Duel,08/08/2024,15/08/2024,49.99
505,CYGNI: All Guns Blazing,08/08/2024,15/08/2024,29.99
506,Death's Gambit: Afterlife,15/08/2024,22/08/2024,19.99
507,World of Warships – Starter Pack: Albany,15/08/2024,22/08/2024,24.99
508,Gigantic: Rampage Edition,22/08/2024,29/08/2024,19.99
509,The Callisto Protocol,22/08/2024,29/08/2024,59.99
510,Fallout Classic Edition,29/08/2024,05/09/2024,19.99
511,Wild Card Football,29/08/2024,05/09/2024,29.99
512,Football Manager 2024,05/09/2024,12/09/2024,5.99
513,Sniper Ghost Warrior Contracts,05/09/2024,12/09/2024,29.99
514,Rugrats: Adventures in Gameland,12/09/2024,19/09/2024,19.99
515,Super Crazy Rhythm Castle,12/09/2024,19/09/2024,19.99
516,Toem,19/09/2024,26/09/2024,19.99
517,The Last Stand: Aftermath,19/09/2024,26/09/2024,24.99
518,The Spirit and the Mouse,26/09/2024,03/10/2024,19.99
519,Bear and Breakfast,03/10/2024,10/10/2024,19.99
520,Outliver: Tribulation,10/10/2024,17/10/2024,7.99
521,Empyrion - Galactic Survival,10/10/2024,17/10/2024,19.99
522,Kardboard Kings: Card Shop Simulator,17/10/2024,17/10/2024,19.99
523,Invincible Presents: Atom Eve,17/10/2024,24/10/2024,9.99
524,Moving Out,24/10/2024,31/10/2024,24.99
525,Ghostwire: Tokyo,31/10/2024,07/11/2024,59.99
526,Witch It,31/10/2024,07/11/2024,19.99
527,Deceive Inc.,07/11/2024,14/11/2024,19.99
528,Castlevania Anniversary Collection,14/11/2024,21/11/2024,19.99
529,Snakebird Complete,14/11/2024,21/11/2024,14.99
530,Beholder,21/11/2024,28/11/2024,13.99
531,Brotato,28/11/2024,05/12/2024,4.99
532,Lego Star Wars: The Skywalker Saga,05/12/2024,12/12/2024,49.99
533,Bus Simulator 21 Next Stop,05/12/2024,12/12/2024,34.99
534,The Lord of the Rings: Return to Moria,12/12/2024,19/12/2024,24.99
535,Vampire Survivors,19/12/2024,20/12/2024,4.99
536,Astrea: Six-Sided Oracles,20/12/2024,21/12/2024,24.99
537,TerraTech,21/12/2024,22/12/2024,24.99
538,Wizard of Legend,22/12/2024,23/12/2024,15.99
539,Dark and Darker,23/12/2024,24/12/2024,0
540,DREDGE,24/12/2024,25/12/2024,24.99
541,Control,25/12/2024,26/12/2024,4.99
542,Ghostrunner 2,26/12/2024,27/12/2024,39.99
543,Hot Wheels Unleashed,27/12/2024,28/12/2024,39.99
544,KILL KNIGHT,28/12/2024,29/12/2024,14.99
545,Orcs Must Die! 3,29/12/2024,30/12/2024,29.99
546,[REDACTED],30/12/2024,31/12/2024,24.99
547,Sifu,31/12/2024,01/01/2025,39.99
548,Kingdom Come: Deliverance,01/01/2025,02/01/2025,29.99
549,Hell Let Loose,02/01/2025,09/01/2025,49.99
550,Turmoil,09/01/2025,16/01/2025,12.99
551,Escape Academy,16/01/2025,23/01/2025,19.99
552,Behind the Frame: The Finest Scenery,23/01/2025,30/01/2025,12.99
553,Undying,30/01/2025,06/02/2025,19.99
554,Beyond Blue,06/02/2025,13/02/2025,19.99
555,Humankind,06/02/2025,13/02/2025,49.99
556,F1 Manager 2024,13/02/2025,20/02/2025,34.99
557,Garden Story,20/02/2025,27/02/2025,19.99
558,World War Z Aftermath,20/02/2025,27/02/2025,39.99
559,Mages of Mystralia,27/02/2025,06/03/2025,19.99
560,Them's Fightin' Herds,06/03/2025,13/03/2025,31.98
561,Mortal Shell,13/03/2025,20/03/2025,29.99
562,World Of Warships – Anniversary Party Flavor,13/03/2025,20/03/2025,0
563,Jurassic World Evolution 2,20/03/2025,27/03/2025,59.99
564,Cat Quest,27/03/2025,03/04/2025,12.99
565,"Neko Ghost, Jump!",27/03/2025,03/04/2025,9.99
566,Cat Quest 2,03/04/2025,10/04/2025,14.99
567,River City Girls,10/04/2025,17/04/2025,29.99
568,Botanicula,17/04/2025,24/04/2025,14.99
569,Chuchel,24/04/2025,01/05/2025,9.99
570,Albion Online Welcome Gift,24/04/2025,01/05/2025,0
571,Super Space Club,01/05/2025,08/05/2025,14.99
572,Deadtime Defenders,08/05/2025,15/05/2025,9.99
573,Touch Type Tale,08/05/2025,15/05/2025,19.99
574,Happy Game,15/05/2025,22/05/2025,13.13
575,Dead Island 2,15/05/2025,22/05/2025,49.99
576,Deliver At All Costs,22/05/2025,29/05/2025,29.99
577,Gigapocalypse,22/05/2025,29/05/2025,9.99
578,Sifu,22/05/2025,29/05/2025,39.99
579,Limbo,29/05/2025,05/06/2025,12.49
580,Tiny Tina's Wonderlands,29/05/2025,05/06/2025,59.99
581,Deathloop,05/06/2025,12/06/2025,59.99
582,Ogu and the Secret Forest,05/06/2025,12/06/2025,24.99
583,Two Point Hospital,12/06/2025,19/06/2025,29.99
584,The Operator,19/06/2025,26/06/2025,13.99
585,Sable,26/06/2025,03/07/2025,24.99
586,Backpack Hero,03/07/2025,10/07/2025,19.99
587,Figment,03/07/2025,10/07/2025,19.99
588,Figment 2,10/07/2025,17/07/2025,24.99
589,Sky Racket,10/07/2025,17/07/2025,14.99
590,Civilization 6 Platinum Edition,17/07/2025,24/07/2025,79.99
591,Legion TD2,24/07/2025,31/07/2025,19.99
592,Keylocker,31/07/2025,07/08/2025,19.99
593,Pilgrims,31/07/2025,07/08/2025,6.99
594,112 Operator,07/08/2025,14/08/2025,24.99
595,Road Redemption,07/08/2025,14/08/2025,19.99
596,Hidden Folks,14/08/2025,21/08/2025,14.99
597,Totally Reliable Delivery Service,14/08/2025,21/08/2025,14.99
598,Kamaeru: A Frog Refuge,21/08/2025,28/08/2025,19.99
599,Strange Horticulture,21/08/2025,28/08/2025,15.99
600,Machinarium,28/08/2025,04/09/2025,19.99
601,Make Way,28/08/2025,04/09/2025,14.99
602,Monument Valley,04/09/2025,11/09/2025,7.99
603,Ghostrunner 2,11/09/2025,18/09/2025,39.99
604,Monument Valley 2,11/09/2025,18/09/2025,7.99
605,The Battle of Polytopia,11/09/2025,18/09/2025,14.99
606,Project Winter,18/09/2025,25/09/2025,9.99
607,Samorost 2,18/09/2025,25/09/2025,4.99
608,Eastern Exorcist,25/09/2025,02/10/2025,17.99
609,Jorel’s Brother and The Most Important Game of the Galaxy,25/09/2025,02/10/2025,14.99
610,Nightingale,02/10/2025,09/10/2025,29.99
611,Gravity Circuit,09/10/2025,16/10/2025,16.99
612,Amnesia: The Bunker,16/10/2025,23/10/2025,24.99
613,Samorost 3,16/10/2025,23/10/2025,19.99
614,Fear the Spotlight,23/10/2025,30/10/2025,19.99
615,Five Nights at Freddy's: Into the Pit,30/10/2025,06/11/2025,19.99
616,Bendy and the Ink Machine,30/10/2025,06/11/2025,19.99
617,Felix The Reaper,06/11/2025,13/11/2025,9.99
618,ScourgeBringer,13/11/2025,20/11/2025,16.99
619,Songs of Silence,13/11/2025,20/11/2025,29.99
620,Zero Hour,13/11/2025,20/11/2025,9.99
621,Zoeti,20/11/2025,27/11/2025,19.99
622,Godzilla Voxel Wars,20/11/2025,27/11/2025,14.99
623,Universe for Sale,27/11/2025,04/12/2025,14.99
624,The Darkside Detective,04/12/2025,11/12/2025,14.99
625,The Jackbox Party Pack 4,04/12/2025,11/12/2025,24.99
626,Hogwarts Legacy,11/12/2025,18/12/2025,59.99
627,Jotunnslayer: Hordes of Hel,18/12/2025,19/12/2025,14.99
628,Eternights,19/12/2025,20/12/2025,29.99
629,Blood West,20/12/2025,21/12/2025,24.99
630,Sorry We're Closed,21/12/2025,22/12/2025,24.99
631,Paradise Killer,22/12/2025,23/12/2025,19.99
632,Bloodstained: Ritual of the Night,23/12/2025,24/12/2025,39.99
633,The Callisto Protocol,24/12/2025,25/12/2025,59.99
634,Disco Elysium — The Final Cut,25/12/2025,26/12/2025,39.99
635,We Were Here Together,26/12/2025,27/12/2025,12.99
636,Cassette Beasts,27/12/2025,28/12/2025,19.99
637,SKALD: Against the Black Priory,28/12/2025,29/12/2025,14.99
638,Viewfinder,29/12/2025,30/12/2025,24.99
639,Trine Classic Collection,30/12/2025,31/12/2025,49.99
640,Chivalry 2,31/12/2025,01/01/2026,39.99
641,Wildgate,01/01/2026,08/01/2026,29.99
642,Total War: Three Kingdoms,01/01/2026,08/01/2026,59.99
643,Bloons TD 6,08/01/2026,15/01/2026,13.99
644,Styx: Master of Shadows,15/01/2026,22/01/2026,19.99
645,Styx: Shards of Darkness - Deluxe Edition,15/01/2026,22/01/2026,19.99
646,Rustler - Grand Theft Horse,22/01/2026,29/01/2026,24.99
