id,game,start_date,end_date,price
112,Pathway,18/06/2020,25/06/2020,15.99
113,AER: Memories of Old,25/06/2020,02/07/2020,14.99
114,Stranger Things 3: The Game,25/06/2020,02/07/2020,19.99
115,Hue,02/07/2020,09/07/2020,14.99
116,Killing Floor 2,09/07/2020,16/07/2020,29.99
117,Lifeless Planet: Premier Edition,09/07/2020,16/07/2020,9.99
118,The Escapists 2,09/07/2020,16/07/2020,19.99
119,Torchlight II,16/07/2020,23/07/2020,19.99
120,Next Up Hero,23/07/2020,30/07/2020,19.99
121,Tacoma,23/07/2020,30/07/2020,19.99
122,20XX,30/07/2020,06/08/2020,14.99
123,Barony,30/07/2020,06/08/2020,19.99
124,Superbrothers: Sword & Sworcery EP,30/07/2020,06/08/2020,7.99
125,3 out of 10: Season One,06/08/2020,13/08/2020,0
126,Wilmot's Warehouse,06/08/2020,13/08/2020,14.99
127,Remnant: From the Ashes,13/08/2020,20/08/2020,39.99
128,The Alto Collection,13/08/2020,20/08/2020,9.99
129,Enter the Gungeon,20/08/2020,27/08/2020,14.99
130,God's Trigger,20/08/2020,27/08/2020,14.99
131,Hitman (2016),27/08/2020,03/09/2020,29.99
132,Shadowrun Collection,27/08/2020,03/09/2020,39.99
133,Into the Breach,03/09/2020,10/09/2020,14.99
134,Railway Empire,10/09/2020,17/09/2020,29.99
135,Where the Water Tastes Like Wine,10/09/2020,17/09/2020,19.99
136,A Total War Saga: Troy,13/09/2020,13/09/2020,39.99
137,Football Manager 2020,17/09/2020,24/09/2020,5.49
138,Stick It To The Man!,17/09/2020,24/09/2020,7.99
139,Watch Dogs 2,17/09/2020,24/09/2020,49.99
140,RollerCoaster Tycoon 3: Complete Edition,24/09/2020,01/10/2020,19.99
141,Pikuniku,01/10/2020,08/10/2020,12.99
142,ABZU,08/10/2020,15/10/2020,19.99
143,Rising Storm 2: Vietnam,08/10/2020,15/10/2020,24.99
144,Amnesia: A Machine for Pigs,15/10/2020,22/10/2020,19.99
145,Kingdom New Lands,15/10/2020,22/10/2020,14.99
146,Costume Quest 2,22/10/2020,29/10/2020,14.99
147,Layers of Fear 2,22/10/2020,29/10/2020,19.99
148,Blair Witch,29/10/2020,05/11/2020,29.99
149,Ghostbusters: The Video Game Remastered,29/10/2020,05/11/2020,24.99
150,Dungeons 3,05/11/2020,12/11/2020,29.99
151,The Textorcist: The Story of Ray Bibbia,12/11/2020,19/11/2020,14.99
152,Elite Dangerous,19/11/2020,26/11/2020,19.99
153,The World Next Door,19/11/2020,26/11/2020,9.99
154,MudRunner,26/11/2020,03/12/2020,19.99
155,Cave Story+,03/12/2020,10/12/2020,14.99
156,Pillars of Eternity: Definitive Edition,10/12/2020,17/12/2020,39.99
157,Tyranny: Gold Edition,10/12/2020,17/12/2020,49.99
158,Cities: Skylines,17/12/2020,18/12/2020,29.99
159,Oddworld: New 'n' Tasty,18/12/2020,19/12/2020,19.99
160,The Long Dark,19/12/2020,20/12/2020,19.99
161,Defense Grid: The Awakening,20/12/2020,21/12/2020,9.99
162,Alien: Isolation,21/12/2020,22/12/2020,39.99
163,Metro 2033 Redux,22/12/2020,23/12/2020,19.99
164,Tropico 5,23/12/2020,24/12/2020,19.99
165,Inside,24/12/2020,25/12/2020,24.99
166,Darkest Dungeon,25/12/2020,26/12/2020,24.99
167,My Time at Portia,26/12/2020,27/12/2020,29.99
168,Night in the Woods,27/12/2020,28/12/2020,19.99
169,Stranded Deep,28/12/2020,29/12/2020,19.99
170,Solitairica,29/12/2020,30/12/2020,9.99
171,Torchlight II,30/12/2020,31/12/2020,19.99
172,Jurassic World Evolution,31/12/2020,07/01/2021,44.99
173,Crying Suns,07/01/2021,14/01/2021,24.99
174,STAR WARS Battlefront II,14/01/2021,21/01/2021,39.99
175,Galactic Civilizations III,21/01/2021,28/01/2021,29.99
176,Dandara,28/01/2021,04/02/2021,14.99
177,For The King,04/02/2021,11/02/2021,19.99
178,Metro: Last Light Redux,04/02/2021,11/02/2021,19.99
179,Halcyon 6: Starbase Commander,11/02/2021,18/02/2021,14.99
180,Absolute Drift,18/02/2021,25/02/2021,11.99
181,Rage 2,18/02/2021,25/02/2021,39.99
182,Sunless Sea,25/02/2021,04/03/2021,18.99
183,Wargame: Red Dragon,04/03/2021,11/03/2021,29.99
184,Surviving Mars,11/03/2021,18/03/2021,29.99
185,The Fall,18/03/2021,25/03/2021,9.99
186,Creature in the Well,25/03/2021,01/04/2021,14.99
187,Tales of the Neon Sea,01/04/2021,08/04/2021,14.99
188,3 out of 10: Season Two,08/04/2021,15/04/2021,0
189,Deponia,15/04/2021,22/04/2021,9.99
190,Ken Follett's The Pillars of the Earth,15/04/2021,22/04/2021,19.99
191,The First Tree,15/04/2021,22/04/2021,9.99
192,Alien: Isolation,22/04/2021,29/04/2021,39.99
193,Hand of Fate 2,22/04/2021,29/04/2021,29.99
194,Idle Champions of the Forgotten Realms,29/04/2021,06/05/2021,11.99
195,Pine,06/05/2021,13/05/2021,24.99
196,The Lion's Song,13/05/2021,20/05/2021,7.99
197,NBA 2K21,20/05/2021,27/05/2021,69.99
198,Among Us,27/05/2021,03/06/2021,4.99
199,Frostpunk,03/06/2021,10/06/2021,29.99
200,Control,10/06/2021,17/06/2021,4.99
201,Hell is Other Demons,17/06/2021,24/06/2021,9.99
202,Overcooked! 2,17/06/2021,24/06/2021,24.99
203,Horizon Chase Turbo,24/06/2021,01/07/2021,19.99
204,Sonic Mania,24/06/2021,01/07/2021,19.99
205,The Spectrum Retreat,01/07/2021,08/07/2021,12.99
206,Bridge Constructor: The Walking Dead,08/07/2021,15/07/2021,9.99
207,Ironcast,08/07/2021,15/07/2021,14.99
208,Obduction,15/07/2021,22/07/2021,29.99
209,Offworld Trading Company,15/07/2021,22/07/2021,29.99
210,Defense Grid: The Awakening,22/07/2021,29/07/2021,9.99
211,Verdun,22/07/2021,29/07/2021,19.99
212,Mothergunship,29/07/2021,05/08/2021,24.99
213,Train Sim World 2,29/07/2021,05/08/2021,19.99
214,A Plague Tale: Innocence,05/08/2021,12/08/2021,39.99
215,Minit,05/08/2021,12/08/2021,9.99
216,Rebel Galaxy,12/08/2021,19/08/2021,19.99
217,Void Bastards,19/08/2021,26/08/2021,29.99
218,Yooka-Laylee,19/08/2021,26/08/2021,19.99
219,Automachef,26/08/2021,02/09/2021,14.99
220,Saints Row: The Third Remastered,26/08/2021,02/09/2021,29.99
221,Yoku's Island Express,02/09/2021,09/09/2021,19.99
222,Nioh: The Complete Edition,09/09/2021,16/09/2021,49.99
223,Sheltered,09/09/2021,16/09/2021,14.99
224,Speed Brawl,16/09/2021,23/09/2021,19.99
225,Tharsis,16/09/2021,23/09/2021,14.99
226,The Escapists,23/09/2021,30/09/2021,17.99
227,Europa Universalis IV,30/09/2021,07/10/2021,49.99
228,PC Building Simulator,07/10/2021,14/10/2021,19.99
229,Stubbs the Zombie in Rebel Without a Pulse,14/10/2021,21/10/2021,19.99
230,Among the Sleep: Enhanced Edition,21/10/2021,28/10/2021,16.99
231,DARQ,28/10/2021,04/11/2021,19.99
232,Aven Colony,04/11/2021,11/11/2021,29.99
233,Rogue Company Season 4 Epic Pack (DLC),11/11/2021,18/11/2021,9.99
234,Tiny Tina’s Assault on Dragon Keep: A Wonderlands One-Shot Adventure,11/11/2021,18/11/2021,9.99
235,Guild of Dungeoneering,18/11/2021,25/11/2021,7.99
236,KID A MNESIA EXHIBITION,18/11/2021,25/11/2021,0
237,Never Alone (Kisima Ingitchuna),18/11/2021,25/11/2021,14.99
238,Antstream,25/11/2021,02/12/2021,39.99
239,theHunter: Call of the Wild,25/11/2021,02/12/2021,19.99
240,Dead by Daylight,02/12/2021,09/12/2021,19.99
241,while True: learn(),02/12/2021,09/12/2021,12.99
242,Godfall: Challenger Edition,09/12/2021,16/12/2021,24.99
243,Prison Architect,09/12/2021,16/12/2021,29.99
244,Shenmue III,16/12/2021,17/12/2021,29.99
245,Neon Abyss,17/12/2021,18/12/2021,19.99
246,Remnant: From the Ashes,18/12/2021,19/12/2021,39.99
247,The Vanishing of Ethan Carter,19/12/2021,20/12/2021,19.99
248,Loop Hero,20/12/2021,21/12/2021,14.99
249,Second Extinction,21/12/2021,22/12/2021,0
250,Mutant Year Zero: Road to Eden,22/12/2021,23/12/2021,34.99
251,Vampyr,23/12/2021,24/12/2021,39.99
252,Pathfinder: Kingmaker - Enhanced Plus Edition,24/12/2021,25/12/2021,19.99
253,Prey,25/12/2021,26/12/2021,29.99
254,Control,26/12/2021,27/12/2021,4.99
255,Mages of Mystralia,27/12/2021,28/12/2021,19.99
256,Moving Out,28/12/2021,29/12/2021,24.99
257,Salt and Sanctuary,29/12/2021,30/12/2021,17.99
258,Tomb Raider Trilogy,30/12/2021,06/01/2022,39.99
259,Gods Will Fall,06/01/2022,13/01/2022,14.99
260,Galactic Civilizations III,13/01/2022,20/01/2022,29.99
261,Relicta,20/01/2022,27/01/2022,19.99
262,Daemon X Machina,27/01/2022,03/02/2022,49.99
263,Yooka-Laylee and the Impossible Lair,03/02/2022,10/02/2022,29.99
264,Windbound,10/02/2022,17/02/2022,19.99
265,Brothers: A Tale of Two Sons,17/02/2022,24/02/2022,14.99
266,Cris Tales,24/02/2022,03/03/2022,39.99
267,Black Widow: Recharged,03/03/2022,10/03/2022,9.99
268,Centipede: Recharged,03/03/2022,10/03/2022,9.99
269,Cities: Skylines,10/03/2022,17/03/2022,29.99
270,In Sound Mind,17/03/2022,24/03/2022,34.99
271,Demon's Tilt,24/03/2022,31/03/2022,19.99
272,City of Brass,31/03/2022,07/04/2022,19.99
273,Total War: Warhammer,31/03/2022,07/04/2022,59.99
274,Rogue Legacy,07/04/2022,14/04/2022,14.99
275,The Vanishing of Ethan Carter,07/04/2022,14/04/2022,19.99
276,Insurmountable,14/04/2022,21/04/2022,24.99
277,XCOM 2,14/04/2022,21/04/2022,59.99
278,Amnesia: Rebirth,21/04/2022,28/04/2022,29.99
279,Riverbond,21/04/2022,28/04/2022,24.99
280,Just Die Already,28/04/2022,05/05/2022,14.99
281,Paradigm,28/04/2022,05/05/2022,14.99
282,Terraforming Mars,05/05/2022,12/05/2022,19.99
283,Jotun: Valhalla Edition,12/05/2022,19/05/2022,14.99
284,Prey,12/05/2022,19/05/2022,29.99
285,Redout: Enhanced Edition,12/05/2022,19/05/2022,19.99
286,Borderlands 3,19/05/2022,26/05/2022,59.99
287,Bioshock: The Collection,26/05/2022,02/06/2022,59.99
288,Wolfenstein: The New Order,02/06/2022,09/06/2022,19.99
289,Maneater,09/06/2022,16/06/2022,39.99
290,Supraland,16/06/2022,23/06/2022,19.99
291,A Game of Thrones: The Board Game Digital Edition,23/06/2022,30/06/2022,19.99
292,Car Mechanic Simulator 2018,23/06/2022,30/06/2022,19.99
293,Geneforge 1: Mutagen,30/06/2022,07/07/2022,19.99
294,Hood: Outlaws & Legends,30/06/2022,07/07/2022,0
295,Iratus: Lord of the Dead,30/06/2022,07/07/2022,29.99
296,Ancient Enemy,07/07/2022,14/07/2022,16.99
297,Killing Floor 2,07/07/2022,14/07/2022,29.99
298,Shop Titans,14/07/2022,21/07/2022,0
299,Wonder Boy: The Dragon's Trap,14/07/2022,21/07/2022,19.99
300,Tannenberg,21/07/2022,28/07/2022,19.99
301,Lawn Mowing Simulator,28/07/2022,04/08/2022,19.99
302,Unrailed!,04/08/2022,11/08/2022,19.99
303,"Cook, Serve, Delicious! 3?!",11/08/2022,18/08/2022,19.99
304,Doom 64,18/08/2022,25/08/2022,4.99
305,Rumbleverse Boom Boxer Pack (DLC),18/08/2022,25/08/2022,1.99
306,Destiny 2,25/08/2022,01/09/2022,24.99
307,Ring of Pain,25/08/2022,01/09/2022,19.99
308,Shadow of the Tomb Raider,01/09/2022,08/09/2022,59.99
309,Submerged: Hidden Depths,01/09/2022,08/09/2022,29.99
310,Hundred Days - Winemaking Simulator,08/09/2022,15/09/2022,24.99
311,Realm Royale Reforged Epic Launch Bundle (DLC),08/09/2022,15/09/2022,0
312,Spirit of the North,15/09/2022,22/09/2022,19.99
313,The Captain,15/09/2022,22/09/2022,19.99
314,ARK: Survival Evolved,22/09/2022,29/09/2022,14.99
315,Gloomhaven,22/09/2022,29/09/2022,34.99
316,Runbow,29/09/2022,06/10/2022,14.99
317,The Drone Racing League Simulator,29/09/2022,06/10/2022,9.99
318,Rising Hell,06/10/2022,13/10/2022,9.99
319,Slain: Back from Hell,06/10/2022,13/10/2022,12.99
320,Darkwood,13/10/2022,20/10/2022,14.99
321,ToeJam & Earl: Back in the Groove!,13/10/2022,20/10/2022,14.99
322,Evoland,20/10/2022,27/10/2022,9.99
323,Fallout 3,20/10/2022,27/10/2022,9.99
324,Saturnalia,27/10/2022,03/11/2022,29.99
325,"Warhammer 40,000: Mechanicus",27/10/2022,03/11/2022,29.99
326,Filament,03/11/2022,10/11/2022,16.99
327,Rising Storm 2: Vietnam,03/11/2022,10/11/2022,24.99
328,Alba: A Wildlife Adventure,10/11/2022,17/11/2022,16.99
329,Shadow Tactics: Blades of the Shogun,10/11/2022,17/11/2022,39.99
330,Dark Deity,17/11/2022,24/11/2022,24.99
331,Evil Dead: The Game,17/11/2022,24/11/2022,39.99
332,Star Wars: Squadrons,24/11/2022,01/12/2022,39.99
333,Fort Triumph,01/12/2022,08/12/2022,19.99
334,RPG in a Box,01/12/2022,08/12/2022,49.99
335,Saints Row 4 Re-Elected,08/12/2022,15/12/2022,19.99
336,Wildcat Gun Machine,08/12/2022,15/12/2022,14.99
337,Bloons TD 6,15/12/2022,15/12/2022,13.99
338,Horizon Chase Turbo,16/12/2022,16/12/2022,19.99
339,Costume Quest 2,17/12/2022,17/12/2022,14.99
340,Sable,19/12/2022,20/12/2022,24.99
341,Them's Fightin' Herds,20/12/2022,21/12/2022,31.98
342,Wolfenstein: The New Order,21/12/2022,22/12/2022,19.99
343,LEGO Builder's Journey,22/12/2022,23/12/2022,19.99
344,Fallout Classic Collection,23/12/2022,24/12/2022,19.99
345,Encased,24/12/2022,25/12/2022,29.99
346,Metro: Last Light Redux,25/12/2022,26/12/2022,19.99
347,Death Stranding,26/12/2022,27/12/2022,39.99
348,F.I.S.T.: Forged In Shadow Torch,27/12/2022,28/12/2022,15.99
349,Severed Steel,28/12/2022,29/12/2022,24.99
350,Dishonored,29/12/2022,05/01/2023,9.99
351,Eximius: Seize the Frontline,29/12/2022,05/01/2023,19.99
352,Mortal Shell,29/12/2022,05/01/2023,29.99
353,Kerbal Space Program,05/01/2023,12/01/2023,39.99
354,Shadow Tactics: Blades Of The Shogun - Aiko's Choice,05/01/2023,12/01/2023,19.99
355,Divine Knockout,12/01/2023,19/01/2023,9.99
356,First Class Trouble,12/01/2023,19/01/2023,14.99
357,Epistory's Typing Chronicles,19/01/2023,26/01/2023,14.99
358,Gamedec,19/01/2023,26/01/2023,6.99
359,Adios,26/01/2023,02/02/2023,17.99
360,Hell is Others,26/01/2023,02/02/2023,14.99
361,City of Gangsters,02/02/2023,09/02/2023,29.99
362,Dishonored: Death of the Outsider,02/02/2023,09/02/2023,29.99
363,Recipe for Disaster,09/02/2023,16/02/2023,16.99
364,Warpips,16/02/2023,23/02/2023,16.99
365,Duskers,23/02/2023,02/03/2023,19.99
366,Rise of Industry,02/03/2023,09/03/2023,29.99
367,Call of the Sea,09/03/2023,16/03/2023,19.99
368,"Warhammer 40,000: Gladius - Relics Of War",16/03/2023,23/03/2023,39.99
369,Chess Ultra,23/03/2023,30/03/2023,12.99
370,World of Warships — Starter Pack: Ishizuchi,23/03/2023,30/03/2023,24.99
371,The Silent Age,30/03/2023,06/04/2023,9.99
372,Tunche,30/03/2023,06/04/2023,19.99
373,Dying Light,06/04/2023,13/04/2023,24.99
374,shapez,06/04/2023,13/04/2023,9.99
375,Mordhau,13/04/2023,20/04/2023,29.99
376,Second Extinction,13/04/2023,20/04/2023,24.99
377,Beyond Blue,20/04/2023,27/04/2023,19.99
378,Never Alone (Kisima Ingitchuna),20/04/2023,27/04/2023,14.99
379,Breathedge,27/04/2023,04/05/2023,24.99
380,Poker Club,27/04/2023,04/05/2023,19.99
381,Against All Odds,04/05/2023,11/05/2023,4.99
382,Horizon Chase Turbo,04/05/2023,11/05/2023,19.99
383,Kao the Kangaroo,04/05/2023,11/05/2023,29.99
384,The Sims 4 The Daring Lifestyle Bundle,11/05/2023,18/05/2023,0
385,Death Stranding,18/05/2023,25/05/2023,39.99
386,Fallout: New Vegas,25/05/2023,01/06/2023,9.99
387,Midnight Ghost Hunt,01/06/2023,08/06/2023,19.99
388,PAYDAY 2,08/06/2023,15/06/2023,9.99
389,Guacamelee! 2,15/06/2023,22/06/2023,19.99
390,Guacamelee!,15/06/2023,22/06/2023,19.99
391,TheHunter: Call of the Wild,22/06/2023,29/06/2023,19.99
392,Idle Champions Of The Forgotten Realms Pack,22/06/2023,29/06/2023,5.99
393,The Dungeon of Naheulbeuk: The Amulet of Chaos,29/06/2023,06/07/2023,34.99
394,Grime,06/07/2023,13/07/2023,24.99
395,Train Valley 2,13/07/2023,20/07/2023,14.99
396,Murder by Numbers,20/07/2023,27/07/2023,14.99
397,The Elder Scrolls Online,20/07/2023,27/07/2023,19.99
398,Homeworld Remastered Collection,27/07/2023,03/08/2023,34.99
399,Severed Steel,27/07/2023,03/08/2023,24.99
400,Bloons TD 6,03/08/2023,10/08/2023,13.99
401,Loop Hero,03/08/2023,10/08/2023,14.99
402,Europa Universalis IV,10/08/2023,17/08/2023,49.99
403,Orwell: Keeping an Eye on You,10/08/2023,17/08/2023,9.99
404,Black Book,17/08/2023,24/08/2023,24.99
405,Dodo Peak,17/08/2023,24/08/2023,9.99
406,Homeworld: Deserts of Kharak,24/08/2023,31/08/2023,49.99
407,Cave Story+,31/08/2023,07/09/2023,14.99
408,Spelldrifter,31/08/2023,07/09/2023,19.99
409,911 Operator,14/09/2023,21/09/2023,14.99
410,Out of Line,14/09/2023,21/09/2023,8.99
411,The Forest Quartet,21/09/2023,28/09/2023,9.99
412,Model Builder,28/09/2023,05/10/2023,19.99
413,Soulstice,28/09/2023,05/10/2023,39.99
414,Godlike Burger,05/10/2023,12/10/2023,19.99
415,Blazing Sails,12/10/2023,19/10/2023,14.99
